idx,type,character,sentence,prediction
417,speech,ALAN,I wonder if old Edwin died on purpose just to see what would happen when we all got together again.,surprise
418,speech,BARMAN,"Sir is rather fond of his Classical allusions isn't he?
",neutral
419,speech,ALAN,"There isn't much that's worth knowing that can't be found in the pages of Homer, Plato, and Sophocles.",neutral
420,speech,ALAN,"Greek society reached its zenith two and a half thousand years ago, unfortunately for them its been in steady decline ever since.",sadness
421,speech,ALAN,I like to remember them in their pomp.,joy
422,speech,BARMAN,"A most interesting view sir, if perhaps a little xenophobic.",disgust
423,speech,ALAN,"The only thing wrong with xenophobia is it's a bloody Greek word! I loved learning about their ancient culture dearly, but I was forced to learn their god-awful language too.",anger
424,speech,ALAN,Xenophobia is what gives a nation its ability to achieve great things.,neutral
425,speech,ALAN,Without xenophobia society as we know it would crumble.,fear
426,speech,BARMAN,"Sir will forgive me for saying so, but he doesn't seem to have one hundred percent conviction in his views.
",neutral
427,speech,ALAN,"Nonsense, I have perfect conviction in my views, I just happen to talk nonsense sometimes.",neutral
428,speech,ALAN,It's what happens when one's mouth becomes too dry.,disgust
429,consigne,,Drains his glass and pushes it an inch towards BARMAN. BARMAN walks over and refills it. The bottle is nearly empty and BARMAN leaves it next to ALAN'92S glass.,
430,speech,BARMAN,"If sir will excuse me.
",neutral
431,speech,ALAN,By all means my good man.,joy
432,consigne,,BARMAN goes to exit stage. MARGARET enters and they pass.,
433,speech,BARMAN,Madam.,neutral
434,consigne,,Exits,
435,speech,BARMAN,MARGARET: Well well well.,neutral
436,consigne,,Catches ALAN'92S attention.,
437,speech,BARMAN,ALAN: My goodness.,surprise
438,speech,BARMAN,You look wonderful Margaret.,joy
439,speech,BARMAN,A true vision.,neutral
440,consigne,,He stands and they embrace then both sit. There'92s a long silence.,
441,speech,ALAN,You look great.,neutral
442,consigne,,smiles,
443,speech,MARGARET,"You said.
",neutral
444,speech,ALAN,Well it's true.,neutral
445,speech,ALAN,I can't believe how long it's been.,surprise
446,speech,MARGARET,"I've been dreading this moment ever since I heard.
",fear
447,speech,ALAN,Dreading it? It's all I've been looking forward to.,neutral
448,speech,ALAN,"Why were you dreading it?
",fear
449,speech,MARGARET,I didn't know whether I'd be able to cope or not.,fear
450,consigne,,He laughs,
451,speech,MARGARET,I relied on you so much in the old days.,neutral
452,speech,MARGARET,It took a long time to learn to cope on my own.,fear
453,speech,ALAN,What utter rubbish.,disgust
454,speech,ALAN,You're the only one of us who could ever really cope.,neutral
455,speech,ALAN,You're the one that made sure we all coped too.,neutral
456,speech,ALAN,But you're also the one who always called my bluff.,neutral
457,speech,ALAN,I was worried about seeing you too.,fear
458,speech,MARGARET,"Really?
",surprise
459,speech,ALAN,Yes.,neutral
460,speech,ALAN,"I was worried you'd try and seduce me!
",fear
461,consigne,,laughs,
462,speech,MARGARET,Oh there you go again.,neutral
463,speech,MARGARET,It's like trying to have a serious conversation with Groucho Marx.,neutral
464,speech,ALAN,"Oh good Groucho Marx story.
",joy
465,speech,MARGARET,"Alan don't.
",neutral
466,speech,ALAN,Come on indulge me.,neutral
467,speech,ALAN,Groucho asked a woman why she had thirteen children and she said it was because she loved her husband.,disgust
468,speech,ALAN,"Groucho said 
",fear
469,consigne,,affects poor Groucho Marx accent,
470,speech,ALAN,"'91Well I love my cigar, but I take it out once in a while'.
",neutral
471,consigne,,laughs,
472,speech,MARGARET,I have missed you.,sadness
473,speech,ALAN,"It's perfectly understandable, I'm very missable.",sadness
474,speech,ALAN,I've actually had women who miss me so much they often don't realise I'm there.,surprise
475,speech,ALAN,I had a girlfriend who brought a man back one time and didn't realise I was in the house till after she'd made love to him.,surprise
476,speech,ALAN,"I really wouldn't have minded so much, but I was in the bed at the time.",disgust
477,speech,MARGARET,"I think you're more like Edwin then any of us.
",neutral
478,speech,ALAN,No I don't think so.,neutral
479,speech,ALAN,He's like all of us.,neutral
480,speech,ALAN,"We've all got a bit of Edwin I think, and we're all lucky to.",neutral
481,speech,MARGARET,Perhaps you're right.,neutral
482,speech,MARGARET,I was thinking that maybe he died on purpose just to get us all back together again.,neutral
483,consigne,,smiles and laughs to himself,
484,speech,ALAN,Yes.,neutral
485,speech,ALAN,I think you might be on to something there.,neutral
486,speech,MARGARET,I could almost believe he did you know.,surprise
487,speech,MARGARET,He was so good to all of us; he gave us all so much.,joy
488,speech,MARGARET,"Remember his graduation speech?
",neutral
489,consigne,,laughs,
490,speech,ALAN,"Oh yes!
",surprise
491,speech,MARGARET,Well I think I would have been one of those people who missed out if it weren't for him.,neutral
492,speech,MARGARET,I never knew what it was to live.,surprise
493,speech,MARGARET,I just thought '91play by the rules and work hard' was the way to get by in life.,neutral
494,speech,MARGARET,I never realised that's all it was.,surprise
495,speech,MARGARET,It was just getting by.,neutral
496,speech,MARGARET,"I never enjoyed life one bit until Edwin adopted me.
",joy
497,speech,ALAN,He taught us all so much.,neutral
498,speech,ALAN,He taught me to always be happy.,joy
499,consigne,,Pause,
500,speech,ALAN,"But I'm not like him Margaret, I can't just be happy.",sadness
501,speech,ALAN,"Some of us can do it, 
",neutral
502,consigne,,takes a long swig of his drink,
503,speech,ALAN,"and some of us need a little help.
",sadness
504,speech,MARGARET,"You don't need help Alan, at least not that sort of help.",neutral
505,speech,ALAN,I need this.,neutral
506,consigne,,Drinks again,
507,speech,ALAN,"MARGARET: But why?
",surprise
508,speech,ALAN,"Is it not said that '91in the seed of grape and grain the source of happiness lies'.
",neutral
509,speech,MARGARET,"And which great man said that?
",neutral
510,speech,ALAN,Do you know I'm not at all sure.,neutral
511,speech,ALAN,"I think I'll claim it as my own.
",neutral
512,speech,MARGARET,"The only saying I know is '91in wine there is truth'.
",neutral
513,speech,ALAN,"Well I better stick to Scotch then, I can't abide the truth.",disgust
514,consigne,,Drinks,
515,speech,ALAN,Then again maybe the truth is more palatable when doused in wine.,neutral
516,consigne,,Long Pause while he drains his glass,
517,speech,ALAN,"But why take the risk? 
",fear
518,consigne,,Empties the rest of the bottle into his glass.,
519,speech,ALAN,"MARGARET: Are all famous poets this maudlin?   
",fear
520,speech,ALAN,"I don't know, you'll have to ask them.",neutral
521,speech,ALAN,But all poets who haven't had anything published in three years probably are.,neutral
522,speech,MARGARET,"Every poet goes through writers' block.
",neutral
523,speech,ALAN,You need to be a writer to get a block.,neutral
524,speech,ALAN,I'm just a washed up hack.,neutral
525,speech,ALAN,"I've barely even written anything since the accident.
",neutral
526,speech,MARGARET,"I was so sorry to read about that, it must have been so devastating.",sadness
527,speech,MARGARET,Charlotte was a wonderful woman.,joy
528,speech,ALAN,"Yes, I bet Edwin's up there trying to shag her this very minute.
",neutral
529,speech,MARGARET,Why is it you make a joke every time someone touches a nerve.,surprise
530,speech,ALAN,Maybe is my way of telling people to mind their own business.,neutral
531,speech,MARGARET,"I'm not going to let this go Al, you've got to talk about it at some point.",neutral
532,speech,MARGARET,Honestly man it's midday and you're tight already.,neutral
533,speech,ALAN,I thought I was hiding it rather well.,neutral
534,speech,MARGARET,"You are, but I know you, you can't hide anything from me.",anger
535,speech,MARGARET,And besides you can't hide that smell.,disgust
536,speech,ALAN,Well if I can fool most people then that'll do for me.,neutral
537,speech,MARGARET,Talk to me.,neutral
538,speech,MARGARET,"I want to help.
",sadness
539,consigne,,JESSICA enters.,
540,speech,JESSICA,"Is that Alan Hemley! 
",surprise
541,consigne,,Affects southern USA accent,
542,speech,JESSICA,"Well I do declare that it is!
",anger
543,consigne,,She runs over and kisses him on both cheeks then takes a seat.,
544,speech,JESSICA,"Goodness me, an Olympiad and a famous artist.",joy
545,speech,JESSICA,What company I keep these days.,neutral
546,speech,JESSICA,"To think; the sort of people I used to associate with at University! 
",disgust
547,speech,ALAN,Young Jessica looking as insatiable as ever.,neutral
548,speech,JESSICA,How bloody rude! You're lucky I've got a forgiving nature you beastly man.,anger
549,speech,ALAN,"Sorry, old habits and all that.
",sadness
550,speech,JESSICA,Well I see you've started the party without me.,surprise
551,consigne,,Shouting,
552,speech,JESSICA,"Barkeep!
",neutral
553,speech,ALAN,I think he went down to the cellar.,neutral
554,speech,JESSICA,"What use is a barman if he's deserted his bar? 
",anger
555,consigne,,Shouting,
556,speech,JESSICA,"Barkeep! 
",neutral
557,speech,MARGARET,"I trust you slept well? 
",neutral
558,speech,JESSICA,"Like an angel.
",fear
559,speech,ALAN,"Really? I could have sworn I heard you praying last night.
",surprise
560,speech,JESSICA,"Praying?
",neutral
561,speech,ALAN,"Well why would somebody be shouting for God if they weren't praying?
",disgust
562,consigne,,to MARGARET,
563,speech,JESSICA,He's only been here five minutes and already he's trying to sully my good name.,disgust
564,speech,ALAN,You need to have a good name for it to become sullied.,neutral
565,consigne,,BARMAN arrives with a bottle of Scotch and stands next to JESSICA.,
566,speech,JESSICA,Ah good man.,joy
567,speech,JESSICA,"What are we all having then? How about a pitcher of G and T? 
",neutral
568,speech,BARMAN,"Very good madam.
",neutral
569,speech,ALAN,I'll have mine with a Whiskey chaser.,neutral
570,speech,JESSICA,I'd forgotten what a cracking good wheeze you are.,joy
571,speech,JESSICA,"It's what I love about being English, no one seems to mind if we get squiffy in the afternoon.",joy
572,speech,ALAN,Now I'd have to take issue with you there.,anger
573,speech,ALAN,It's not easy being an Englishman.,fear
574,consigne,,"BARMAN brings over the pitcher, three glasses and a whiskey. He returns to the bar. MARGARET pours.",
575,speech,JESSICA,"What on earth do you mean?
",surprise
576,speech,ALAN,"Well every foreigner has a simple aspiration, something they can constantly strive for but never achieve.",neutral
577,speech,ALAN,Thus they remain content because they are always in pursuit of their ultimate goal.,neutral
578,consigne,,Pause,
579,speech,ALAN,"JESSICA: 
",neutral
580,consigne,,laughs,
581,speech,ALAN,Well come on then.,neutral
582,speech,ALAN,"I know you poets are awfully fond of suspense, but to me a dramatic pause just feels like a forgotten line.
",fear
583,speech,ALAN,"A scathing if accurate assessment.
",anger
584,speech,JESSICA,"So what is this magic goal all foreigners have.
",neutral
585,speech,ALAN,Simple.,neutral
586,consigne,,Pause,
587,speech,ALAN,"To be more like an Englishman.
",disgust
588,consigne,,Claps her hands together,
589,speech,JESSICA,Ah! Of course.,anger
590,speech,ALAN,"Thus an Englishman, due to the curse of his nationality must constantly strive to achieve great insurmountable feats simply to remain content.
",neutral
591,speech,JESSICA,Perhaps this is why Englishmen see lovemaking as a chore whilst Europeans see it as a pleasure.,neutral
592,speech,ALAN,Exactly.,neutral
593,speech,ALAN,"Rather then taking any real joy from the moment, we've instead terrified that we're doing it wrong.
",fear
594,speech,JESSICA,"It's certainly one explanation.
",neutral
595,speech,MARGARET,"Yes, though I'm not sure Trevor would agree.",neutral
596,speech,ALAN,Trevor is from St.,neutral
597,speech,ALAN,"Andrews, he's more English then I am! Plus he carries the added burden all Scots do of hating the fact that they are in essence English.",disgust
598,speech,ALAN,"Thus they lack contentment as they have achieved Englishness, but also suffer deep self-loathing for ascending to such a state of disloyal perfection.",neutral
599,consigne,,Drinks,
600,speech,ALAN,This is why the only man more miserable then an Englishman is a Scot.,sadness
601,consigne,,Enter TREVOR,
602,consigne,,Alan stands and they shake hands. They both sit. BARMAN brings over an extra glass then returns to the bar. MARGARET pours TREVOR a drink.,
603,speech,TREVOR,"What's this English swine saying about me?
",surprise
604,speech,ALAN,Ah just the usual.,neutral
605,speech,ALAN,"I was actually commending you on your Englishness.
",neutral
606,speech,TREVOR,How dare you.,anger
607,speech,TREVOR,You turn up late and when you finally arrive you barrage me with insults.,anger
608,speech,JESSICA,You've obviously forgotten what this chap's like if you think that was a barrage.,neutral
609,speech,TREVOR,What it lacked in quantity it made up for in ferocity.,neutral
610,speech,TREVOR,"It may only have been one comment, but it was a blight the scale of Hiroshima.",disgust
611,speech,MARGARET,"Why is it you make so many allusions to warfare?
",surprise
612,speech,TREVOR,Envy I suppose.,neutral
613,speech,TREVOR,I've often wanted to follow in the footsteps of McLeishs before me who fought and died for King and Country.,sadness
614,speech,JESSICA,"Well what's stopping you? 
",anger
615,speech,TREVOR,"It's very dangerous being in the army you know.
",fear
616,speech,MARGARET,"So just good old-fashioned cowardice then?
",anger
617,speech,TREVOR,"I like to think it's more of a refined cowardice that combines aspects of principle, rebelliousness and good old fashioned greed.",neutral
618,speech,JESSICA,"Greed?
",disgust
619,speech,TREVOR,Absolutely.,neutral
620,speech,TREVOR,"I've worked all my life to be in a position where I can accumulate as much money as humanly possible, what's the point in being rich if one is dead.",neutral
621,speech,MARGARET,Yes fair point.,neutral
622,speech,MARGARET,"If you work every hour god sends and then can't see the fruits of your labour, then it's a touch well, fruitless.
",sadness
623,speech,TREVOR,Indeed.,neutral
624,speech,TREVOR,"And how on earth will one be able to ask people at parties how much their property is worth if one has heroically perished.
",surprise
625,speech,JESSICA,There are no decent wars these days anyway.,neutral
626,speech,JESSICA,It's all about technology really isn't it? And I really feel for those boys out in the Middle East.,sadness
627,speech,JESSICA,Every time they shoot a civilian they're hauled over the coals for it.,anger
628,speech,JESSICA,"I mean it's ridiculous! When you go to war, you go to war with a country.",disgust
629,speech,JESSICA,"If you kill the civilians of that country, well yes, it's a shame, but it's still the bloody enemy really isn't it? My Gramppy didn't have two brothers and a husband killed just so some upstart lefty journo bastard could make our boys look like the badguys every time a poor pathetic wog catches a stray bullet.",disgust
630,speech,MARGARET,"Jessica listen to yourself, can't you understand how outrageous you sound.",anger
631,speech,MARGARET,"The war was illegal anyway.
",anger
632,speech,JESSICA,"Oh don't even get me started on that.
",disgust
633,speech,ALAN,"No please don't get started on that.
",neutral
634,speech,JESSICA,Half of bloody Europe denouncing us for deposing a bloody evil tyrant! There wouldn't even be a Europe if we hadn't have defended the bloody thing twice over.,anger
635,speech,JESSICA,"And the Germans themselves, the bloody Germans, accuse us of being heavy handed.",anger
636,speech,JESSICA,"I mean it's a bit bloody rich isn't it!
",anger
637,consigne,,ALAN has drained both of his drinks already. He holds his glass in the air and shakes the ice in it. BARMAN comes over and refills it with whiskey then returns to the bar.,
638,speech,MARGARET,"Oh good Lord! Have you any idea how'85.
",surprise
639,speech,TREVOR,Ladies please.,neutral
640,speech,TREVOR,I'm sure we can find far more interesting and less controversial things to talk about then international affairs.,neutral
641,speech,ALAN,"Thank God.
",joy
642,speech,JESSICA,"You're right, I'm awfully sorry.
",sadness
643,speech,MARGARET,"Yes, you're quite right Trevor, what shall we talk about then?
",neutral
644,speech,TREVOR,I really don't mind.,disgust
645,speech,TREVOR,"Oh, I know; did anybody happen to read the serialisation of Lord McLaughlin's autobiography?
",surprise
646,consigne,,ALAN drains his glass and shakes it in the air so this time the ice rattles more loudly. BARMAN comes over to fill it and begins to return to the bar.,
647,speech,MARGARET,"No the last thing I read was Harry Potter.
",neutral
648,consigne,,ALAN grabs the back of BARMAN'92S shirt and pulls him back. He drains his glass and BARMAN refills it. ALAN points to the ground to indicate BARMAN should stand next to him and not leave.,
649,speech,ALAN,Urrrrhhhh'85..,sadness
650,consigne,,They all turn to look at ALAN as he is desperately looking for something to say,
651,speech,ALAN,"Wouldanybody like a drink?
",neutral
652,speech,JESSICA,"I think we're all still working on ours, bit out of practise I'm afraid.",fear
653,speech,ALAN,Very good.,joy
654,speech,ALAN,"Thank you Barkeep.
",neutral
655,speech,BARMAN,My pleasure sir.,disgust
656,consigne,,BARMAN returns to bar.,
657,speech,ALAN,"Do you realise this is the first time we've all been alone together?
",surprise
658,speech,MARGARET,"What do you mean? Of course it isn't.
",surprise
659,speech,TREVOR,"No, no he's right.",disgust
660,speech,TREVOR,Think about it.,neutral
661,speech,TREVOR,The four of us have never been together without Edwin in the room.,neutral
662,speech,JESSICA,"Good Lord that is queer isn't it.
",surprise
663,speech,MARGARET,Yes you're right.,neutral
664,speech,MARGARET,"I can't believe it.
",surprise
665,speech,ALAN,"Well if you're having trouble adjusting we could go through to the billiard room, his coffin's on the table.",neutral
666,speech,MARGARET,"It would seem undignified if it were anyone else, but I think it's a rather suitable place to rest him considering the amount of nonsense he got up to in his life.",disgust
667,speech,TREVOR,Remember when he joined the Dangerous Sports Club.,neutral
668,speech,JESSICA,"Yes, but it wasn't a case of paracending or abseiling was it? Didn't he go down a waterfall on a tea tray?
",surprise
669,speech,TREVOR,"Well yes, but it was only a small one.",neutral
670,speech,ALAN,"Tea tray or waterfall? 
",neutral
671,speech,TREVOR,"Both I think.
",neutral
672,speech,MARGARET,"And he almost became the first man to cross the Channel on an inflatable kangaroo.
",neutral
673,speech,JESSICA,"Really? Why only almost?
",surprise
674,speech,ALAN,"He was arrested as soon as he got into French waters because he didn't have a licence for the kangaroo.
",anger
675,speech,TREVOR,"He was rather upset as I recall.
",neutral
676,speech,ALAN,"Yes, he got the idea into his head that they were only arresting him because the French Dangerous Sports Society were planning a cross channel kangaroo record of their own.",neutral
677,speech,ALAN,He rather gave up on the dangerous sports after that.,neutral
678,speech,MARGARET,"Yes that's when he went to Switzerland wasn't it?
",neutral
679,speech,JESSICA,"I remember that all right, I had to wire the Swiss authorities eleven thousand Francs to get him out of jail.",neutral
680,speech,TREVOR,"I never heard about this, what was he in for?
",surprise
681,speech,JESSICA,He was drinking in a hotel bar and bought the guests champagne all night.,disgust
682,speech,JESSICA,Then he left in the morning without paying his bill.,disgust
683,speech,JESSICA,The hotelier wasn't going to take the matter any further.,neutral
684,speech,JESSICA,Edwin had left a brand new Mercedes in the car park so he thought that would cover the cost no problem.,neutral
685,speech,TREVOR,"So why did he end up in jail?
",surprise
686,speech,ALAN,It wasn't his Mercedes.,neutral
687,speech,ALAN,"He'd taken it for a test drive from a car show room in Marseilles.
",neutral
688,speech,MARGARET,Seems like wherever he goes he gets arrested.,neutral
689,speech,ALAN,"It's only twice.
",neutral
690,speech,TREVOR,No he got arrested in Moscow as well.,sadness
691,speech,TREVOR,He was chatting a girl up in a bar and told her he worked for MI6.,disgust
692,speech,TREVOR,"He'd been doing it all week, unfortunately this girl was an off duty police woman and reported him.
",surprise
693,consigne,,BARMAN walks over.,
694,speech,MARGARET,"Goodness, I bet he must have loads of new stories that we all missed out on.",neutral
695,speech,MARGARET,Shame he never kept a diary.,disgust
696,speech,BARMAN,"Will any of the party be requiring luncheon? 
",neutral
697,speech,MARGARET,I will; I'm absolutely famished.,joy
698,speech,JESSICA,"I think I'll join you.
",joy
699,speech,ALAN,I think I quite fancy a stroll.,joy
700,speech,ALAN,"Trevor be a good chap and keep me company.
",joy
701,speech,TREVOR,"Yes all right, I guess we'll see you ladies later.
",neutral
702,consigne,,They rise to leave. BARMAN returns to the bar,
703,speech,MARGARET,"What's this? The men off to discuss politics over brandy?
",surprise
704,speech,ALAN,No it's far more complicated than that.,neutral
705,speech,ALAN,"I could explain it to you, but I'm not sure your pretty little head would understand.",neutral
706,consigne,,smiling,
707,speech,MARGARET,"Get out of my sight you absolute terror.
",fear
708,consigne,,ALAN and TREVOR leave.,
709,consigne,,sighs,
710,speech,MARGARET,"Goodness me.
",joy
711,speech,JESSICA,"Whatever's the matter?
",neutral
712,speech,MARGARET,"Well, Alan of course.
",neutral
713,speech,JESSICA,"What's wrong with Alan?
",anger
714,speech,MARGARET,"Don't tell me you didn't notice the drinking.
",disgust
715,speech,JESSICA,"Oh rubbish, we were all at it.
",disgust
716,speech,MARGARET,Not like him.,disgust
717,speech,MARGARET,He was really putting it away.,disgust
718,speech,MARGARET,And the worst thing is he wasn't even coming across as drunk.,disgust
719,speech,MARGARET,"He must do it all the time.
",neutral
720,speech,JESSICA,"Alan has always liked a drink.
",joy
721,speech,MARGARET,Not in this joyless way.,joy
722,speech,MARGARET,He looks like he's drowning his sorrows.,sadness
723,speech,JESSICA,We are here for a funeral.,sadness
724,speech,MARGARET,No it's something else.,neutral
725,speech,MARGARET,"I'm gonna have to talk to him.
",sadness
726,speech,JESSICA,Now don't be frightful towards him; he's having fun.,fear
727,speech,JESSICA,He's on holiday if anything.,neutral
728,speech,JESSICA,I'm quite sure you're worrying over nothing.,neutral
729,speech,MARGARET,"You're seriously saying you're not worried?
",surprise
730,consigne,,annoyed,
731,speech,JESSICA,"Oh come on Margaret, why do you always have to be this way.",surprise
732,speech,JESSICA,Just let the man enjoy his drink.,neutral
733,speech,JESSICA,You're always finding something to worry about.,fear
734,speech,JESSICA,You'll be on at me for something next.,neutral
735,consigne,,Pause in which MARGARET moves uneasily in her chair and looks the other way,
736,speech,JESSICA,"What? What is it?
",surprise
737,speech,MARGARET,"Well I wasn't going to say anything, but, well, you're not going to do anything silly are you?
",anger
738,speech,JESSICA,"It's been known to happen, what are you trying to say?
",neutral
739,speech,MARGARET,I really don't know how to say this without causing offence.,anger
740,speech,MARGARET,"You are going to think of your husband while you're here aren't you?
",disgust
741,consigne,,laughs and lights a cigarette,
742,speech,JESSICA,Oh Margaret.,neutral
743,speech,JESSICA,I'll be thinking of my husband alright.,neutral
744,speech,MARGARET,"I'm glad, I'm sorry to have mentioned it.
",joy
745,consigne,,ignoring her,
746,speech,JESSICA,I'll be thinking of a dull little man in our dull little home with our dull little perfect children.,sadness
747,speech,JESSICA,I'll be thinking of how boring and repetitive every single dull little day is.,sadness
748,speech,MARGARET,"Jessica don't.
",neutral
749,speech,JESSICA,I came down here so I could fuck.,anger
750,speech,JESSICA,"And I'm sure you'd rather I fuck Trevor then your darling drunken Alan.
",anger
751,speech,MARGARET,"What do you mean?
",surprise
752,speech,JESSICA,Oh come off it.,anger
753,speech,JESSICA,You've always been head over heels for him the same way Trevor's been for me.,neutral
754,speech,JESSICA,Tonight I'm going to give him something he's been thinking of for the last eight years.,neutral
755,speech,JESSICA,"Every time he fucked his wife he'll have been thinking of me, and now he can finally enjoy the perfect erotic evening she could never give him.
",neutral
756,speech,MARGARET,"When did you become so hateful?
",anger
757,speech,JESSICA,"Oh Chickpea, I'm not hateful.",disgust
758,speech,JESSICA,I'm happy with my husband and my three girls.,joy
759,speech,MARGARET,"So why are you doing this?
",surprise
760,speech,JESSICA,Because happiness isn't the same as excitement.,joy
761,speech,JESSICA,Fucking a married man is exciting.,joy
762,speech,MARGARET,"What if you get caught?
",fear
763,speech,JESSICA,Then all the better.,neutral
764,speech,JESSICA,"Think how exciting it would be if my husband did find out.
",surprise
765,speech,MARGARET,"And what if Trevor's wife did?
",neutral
766,speech,JESSICA,"Look, I can't force a man to sleep with me; he's still got free will
",anger
767,speech,BARMAN,"Pah!
",disgust
768,speech,JESSICA,I'll do what I damn well like.,anger
769,speech,JESSICA,"Just because you've got your own little problems, loving Alan, but living with some god awful middle aged beatnik.",disgust
770,speech,JESSICA,You don't have to be so excessively nice and proper all the time you know.,neutral
771,speech,JESSICA,We all know how much you must be hurting for your life to have turned out the way it has.,sadness
772,speech,JESSICA,"But no, being upset wouldn't be Margaret would it? It wouldn't be the proper thing to do.",anger
773,speech,JESSICA,So instead you bottle it all up inside and only vent it when you see people who want to enjoy themselves in a way that you don't know how to.,neutral
774,speech,JESSICA,Why don't you sort yourself out before you go fucking with other people.,anger
775,consigne,,Pause,
776,speech,JESSICA,We were having a perfectly jolly time before you started talking such rot.,joy
777,speech,JESSICA,I'll be buggered if I'm going to sit through lunch with you now.,neutral
778,speech,JESSICA,"I'm going to see if I can catch the boys up.
",neutral
779,consigne,,She stands and walks quickly out,
780,consigne,,Margaret sits in silence for a while. She pours a glass of whiskey from Alan'92s bottle and raises the glass to her lips. She stops just before drinking and puts the glass down on the table. She exits in the opposite direction to the others. BARMAN turns on the radio again and goes to collect the glasses.,
781,consigne,,END OF ACT I SCENE II,
782,consigne,,"Scene change: Three doors are introduced. One on the far left of the stage, one on the far right, and one is placed exactly half way between the two. The tables and chairs are removed. The bar is covered. The two sofas (sofa beds) are extended and placed prominently on each half of the stage. Two dressing tables and chairs are brought in and placed on either side of the stage. Other bedroom paraphernalia e.g. dress mirrors, lamps, TVs etc can be included, but are not vital to the scene.",
783,consigne,,Scene: JESSICA'92S hotel room (left half of stage) and ALAN'92S hotel room (right half of stage) connected to each other by the central door. ALAN is asleep on his bed. JESSICA is seated at her dressing table.,
784,consigne,,"Music fades out. JESSICA begins to beautify herself e.g. does her make-up, brushes her hair, pushes her boobs up, sprays perfume on her neck and up her skirt. A knock is heard on her outer door. ALAN sits bolt upright in his bed. He checks his watch, yawns and then slumps back asleep. JESSICA walks over to the door and reaches out a hand to open it. She changes her mind and instead lies on the bed in a sultry pose.",
785,speech,JESSICA,"Come in.
",neutral
786,consigne,,Enter TREVOR visibly agitated,
787,speech,TREVOR,"Hello.
",neutral
788,speech,JESSICA,Hello there.,neutral
789,speech,JESSICA,"Take a seat won't you.
",anger
790,consigne,,TREVOR goes to sit on the bed then changes his mind and sits on the chair by the dressing table.,
791,consigne,,pause,
792,speech,TREVOR,It's been lovely to see everyone again.,joy
793,speech,TREVOR,Just like the old days.,neutral
794,speech,JESSICA,Except in the old days we knew we'd have to see each other every day.,neutral
795,speech,JESSICA,It's almost like now there are no consequences.,neutral
796,speech,TREVOR,Well I suppose that's true in a manner of speaking.,neutral
797,speech,JESSICA,You seem a little nervous.,fear
798,speech,TREVOR,"No, no.",neutral
799,speech,TREVOR,I'm fine.,neutral
800,speech,JESSICA,"Really?
",surprise
801,speech,TREVOR,Oh yes I'm fine.,neutral
802,speech,JESSICA,"You're fidgeting.
",disgust
803,speech,TREVOR,"I had two cups of coffee after dinner, I usually only have one.",neutral
804,speech,TREVOR,It must be that.,neutral
805,consigne,,smiles,
806,speech,JESSICA,It must be.,neutral
807,speech,JESSICA,"I've ordered us some champagne, that should calm your nerv'85 your jitters.
",neutral
808,consigne,,There'92s a knock on ALAN'92S door which TREVOR and JESSICA remain oblivious to. ALAN sits bolt upright. JESSICA walks over to TREVOR and leads him over to the bed by his tie. They both sit on the bed. ALAN slumps asleep again. There'92s a knock on JESSICA'92S door. ALAN sits up again. JESSICA gets up and lets in BARMAN who has a bottle of champagne and an ice bucket with a stand.,
809,speech,JESSICA,"Marvellous, just set it up by the dresser.",joy
810,consigne,,"He does so and leaves. JESSICA pours two glasses and returns to sit next to TREVOR on the bed. They drink slowly. There'92s another, harder knock on ALAN'92S door and this time he'92s fully shaken out of his sleep and goes to open his door.",
811,consigne,,Enter Margaret at great speed.,
812,speech,MARGARET,God I'm so glad you're in.,joy
813,speech,MARGARET,I'm so awfully worried.,fear
814,speech,MARGARET,I think something ghastly is going to happen.,fear
815,speech,ALAN,"Please, do come in.",neutral
816,consigne,,ALAN flops on his bed whilst MARGARET paces round the room.,
817,consigne,,she'92s speaking very fast,
818,speech,MARGARET,"I know what you're thinking, that I'm worrying over nothing, but I really think they might do it and it would be just awful.
",disgust
819,speech,ALAN,"Would it?
",surprise
820,speech,MARGARET,"Oh yes, terrible.",fear
821,speech,MARGARET,Just imagine the possible ramifications.,neutral
822,speech,ALAN,You see I hadn't thought about the ramifications.,neutral
823,speech,ALAN,I wasn't really thinking about anything.,neutral
824,speech,ALAN,I was asleep actually.,surprise
825,speech,MARGARET,And if anybody found out.,neutral
826,speech,MARGARET,"I know what you're going to say, '91who could possibly find out', but someone might.",surprise
827,speech,ALAN,"I was having a rather nice dream.
",joy
828,speech,MARGARET,"It's not just them to think about, there are children involved.",neutral
829,speech,ALAN,"I was bicycling through a beautiful garden, but I kept falling off my bike.",fear
830,speech,MARGARET,I know they'll regret it.,sadness
831,speech,MARGARET,I know he will certainly.,neutral
832,speech,ALAN,But it was okay because every time I landed in a big pool of raspberry jelly and bounced straight back up again.,neutral
833,speech,MARGARET,"God it's awful!
",disgust
834,speech,ALAN,"Yes I prefer strawberry myself, but you can't choose what you dream about can you.",neutral
835,consigne,,pause,
836,speech,MARGARET,"Alan, I'm not at all convinced you're taking this seriously.",surprise
837,speech,ALAN,It's difficult to take it seriously when I don't know what the hell you're talking about.,disgust
838,speech,MARGARET,"Jessica and Trevor are going to have an affair!
",surprise
839,speech,ALAN,"Oh really?
",surprise
840,speech,MARGARET,"Yes!
",anger
841,consigne,,Pause,
